replication,Flat table K0,AI typed lift Ktheta,AI plus source/availability audit Ktheta+E,Post-index source certificate Kpost,Prospective reference KP
1,0.14217262383427143,0.3351695156985819,0.21499378372862088,0.14217262383427143,0.2765260998472867
2,0.18080769230769228,0.3963141761063424,0.2830129675973002,0.18080769230769228,0.2879178283590048
3,0.17800000000000007,0.3969865731927588,0.2899731463855175,0.17800000000000007,0.2242617655249234
4,0.13964247311827954,0.3370067789677906,0.22172861169902203,0.13964247311827954,0.2923338779956427
5,0.14884045641076968,0.38489745040130796,0.3021139879810766,0.14884045641076968,0.26729968621104966
6,0.1608476628966071,0.384452938754419,0.285210551715624,0.1608476628966071,0.20558857689417231
7,0.14682857182903428,0.3514005477523968,0.238143951846725,0.14682857182903428,0.22509022556390973
8,0.14216833751044283,0.31810196508505395,0.18486725514922236,0.14216833751044283,0.1199559190809191
9,0.1385569184415752,0.3479074969611837,0.2457011570392172,0.1385569184415752,0.2190758002692701
10,0.16920298481193918,0.395580641612037,0.29875531360019547,0.16920298481193918,0.3024847830166192
11,0.14059262933862487,0.35272341551036834,0.25226157234348706,0.14059262933862487,0.30348504802934584
12,0.14829058951825008,0.37262682901985067,0.28467247900320114,0.14829058951825008,0.23185864498644984
13,0.17008383057399779,0.3699385927085112,0.24470952426902684,0.17008383057399779,0.2450272648077352
14,0.19760399462262335,0.44970462827650126,0.3682012673077558,0.19760399462262335,0.23911530477607174
15,0.16951536339726733,0.3707094259830802,0.2523881251716258,0.16951536339726733,0.22706382978723402
16,0.14800000000000005,0.36089126208306044,0.25778252416612074,0.14800000000000005,0.34325089363829514
17,0.12563738037726485,0.32793554183770557,0.2245963229208815,0.12563738037726485,0.2353175950629261
18,0.12304951404254985,0.34217230439916213,0.2552455807132245,0.12304951404254985,0.1950258596423075
19,0.14199999999999988,0.33654171121738563,0.21708342243477147,0.14199999999999988,0.15136884942656312
20,0.14897938672300118,0.3629426603783219,0.2619265473106415,0.14897938672300118,0.1886268693610184
21,0.1596038336613385,0.38905677612066714,0.2989058849186572,0.1596038336613385,0.29844531515754724
22,0.11476394259533648,0.32202023752874986,0.21951258986682676,0.11476394259533648,0.3258813252275214
23,0.13916074211160917,0.3565745647439642,0.2578276452647102,0.13916074211160917,0.20615324635473278
24,0.14098767334360546,0.3479869653826747,0.2369985840781385,0.14098767334360546,0.14319576036866363
25,0.15581383915497582,0.37919894743731775,0.2797702165646838,0.15581383915497582,0.25789430408915703
26,0.10840638967025325,0.31402011161554017,0.21822744389057383,0.10840638967025325,0.27527400513924577
27,0.13097752977679913,0.30917794030741597,0.17940082106123362,0.13097752977679913,0.16102829108426123
28,0.10365382183827565,0.28239339210646336,0.1584791405363755,0.10365382183827565,0.19973002179116206
29,0.16874442877969847,0.3887744638177223,0.28306007007604767,0.16874442877969847,0.26821841611614056
30,0.11611111111111114,0.31141142566335744,0.2006006291044926,0.11611111111111114,0.2666816933066933
31,0.11629284317137263,0.3416951262717612,0.2618045662007771,0.11629284317137263,0.278895295199643
32,0.1723795518207282,0.38464544163336434,0.27153177962527225,0.1723795518207282,0.14159666129940518
33,0.16852814848043057,0.3759999211078786,0.257943545254896,0.16852814848043057,0.217004029352518
34,0.11974594014011126,0.31947761943648734,0.21546335859275217,0.11974594014011126,0.18019513459304354
35,0.17430697505110185,0.3794536525226619,0.26029335494312006,0.17430697505110185,0.3226746914982209
36,0.12361643270851094,0.33816846312934656,0.24310406084167124,0.12361643270851094,0.17645464025026064
37,0.13364925970388145,0.34263114999320243,0.23896378057864182,0.13364925970388145,0.21234243061246305
38,0.1780602246723528,0.3998219488736014,0.2965234484024972,0.1780602246723528,0.20043055172625068
39,0.12994701161427644,0.31051622022555603,0.18213841722255913,0.12994701161427644,0.28521100632020174
40,0.16686095480850927,0.3837744542411301,0.2748269988652416,0.16686095480850927,0.29900354191263284
41,0.1157755699205172,0.30472260801504103,0.1888940761890477,0.1157755699205172,0.17004687069203195
42,0.09532117379246231,0.276934136561801,0.1642259255386775,0.09532117379246231,0.22876922236509253
43,0.11242079207920798,0.33419943203269475,0.25255727990697363,0.11242079207920798,0.232781183389879
44,0.1636092554266737,0.3536576532417088,0.22709679563007013,0.1636092554266737,0.2767077479778629
45,0.14948776360166588,0.3715443418426408,0.2761131564819498,0.14948776360166588,0.2492985592457227
46,0.15333975346687215,0.3295695440957638,0.19245958125778329,0.15333975346687215,0.14428402670775553
47,0.120688573903836,0.3351920887286164,0.23800702964956075,0.120688573903836,0.3176632689944336
48,0.18091687471992834,0.3940054040734938,0.2811770587071309,0.18091687471992834,0.2854270164417143
49,0.19160907937955834,0.41480546425363624,0.30839276974815577,0.19160907937955834,0.1422391750653229
50,0.13892834382155622,0.3326556745453322,0.21545466144755201,0.13892834382155622,0.17716016927922806
51,0.1757200460829493,0.39160298023968027,0.28176586831346195,0.1757200460829493,0.33289190548014086
52,0.18889215027440434,0.4209186373757492,0.3230529742026896,0.18889215027440434,0.35332604544380575
53,0.12172171018945212,0.2988815023573873,0.1693195843358703,0.12172171018945212,0.14867418457047815
54,0.1099690292782779,0.29879132721272805,0.18064459586890036,0.1099690292782779,0.3827503327799464
55,0.16150000000000006,0.3857822835798437,0.2895645671596873,0.16150000000000006,0.21730559058427912
56,0.14545968735499765,0.3659837817016692,0.271048188693343,0.14545968735499765,0.24614309739202409
57,0.13482599665273984,0.3447273356070111,0.2388026779085426,0.13482599665273984,0.32836625878421544
58,0.12463779896076266,0.3178095677256806,0.20234353752983597,0.12463779896076266,0.24769841269841264
59,0.11504602850014667,0.31624799325563924,0.20640392951098513,0.11504602850014667,0.2479609207776183
60,0.159071300563236,0.3732566764608022,0.26837075179513237,0.159071300563236,0.29397434883230344
61,0.15122600629723432,0.37910083796465877,0.28874966333484886,0.15122600629723432,0.15680456080913746
62,0.16857992927886847,0.3725337365811194,0.25390761460450184,0.16857992927886847,0.32432660590663326
63,0.143811324529812,0.3577782875466151,0.2589339260336062,0.143811324529812,0.15972825939492608
64,0.17313925570228084,0.3836293603132895,0.27098020922201727,0.17313925570228084,0.2602346771550311
65,0.1660637384927446,0.39324541079049635,0.2993633445955035,0.1660637384927446,0.28749459452584447
66,0.15723601232574258,0.36541018171725925,0.2523483387830333,0.15723601232574258,0.2985951653581867
67,0.12801409034646033,0.33410801790094863,0.23318785510897663,0.12801409034646033,0.11164244851258583
68,0.16357873283438196,0.3894697286702563,0.2937819916717487,0.16357873283438196,0.3651162063108966
69,0.1495637923308366,0.35715663277913245,0.24718568089659168,0.1495637923308366,0.4101741068709443
70,0.16299999999999998,0.39465419092865694,0.30530838185731396,0.16299999999999998,0.30430295972331367
71,0.18824210998015486,0.4096823182530102,0.30288041654571063,0.18824210998015486,0.38355996326905417
72,0.15552035799016609,0.3537178957935802,0.2343950756068283,0.15552035799016609,0.09426886821370227
73,0.13429356953962984,0.3334504355566401,0.2223137320340206,0.13429356953962984,0.2419478073715362
74,0.17159141601892525,0.4031731788937638,0.3051635257496771,0.17159141601892525,0.17022144587387536
