replication,scenario,method,true,estimate,bias,se,ciLow,ciHigh,covered
1,main,Structured EHR estimator,0.6384910746262612,1.436617110586768,0.7981260359605068,0.1532014550451798,1.1363422586982157,1.7368919624753203,0
1,main,Naive AI estimator,0.6384910746262612,0.2302617019057805,-0.4082293727204807,0.09544537047699164,0.043188775770876875,0.4173346280406841,0
1,main,ISE causal estimator,0.6384910746262612,0.6707553561213858,0.032264281495124614,0.12951060247353588,0.4169145752732555,0.9245961369695161,1
1,main,Design erasure estimator,0.6384910746262612,1.2180994269965342,0.579608352370273,0.14194983394301702,0.9398777524682208,1.4963211015248477,0
1,main,Post index leakage estimator,0.6384910746262612,0.30746621770959803,-0.33102485691666317,0.09907479056354067,0.11327962820505832,0.5016528072141377,0
1,main,Oracle prospective estimator,0.6384910746262612,0.6551293383518673,0.01663826372560606,0.12861844753118437,0.4030371811907459,0.9072214955129887,1
2,main,Structured EHR estimator,0.6434211646588345,1.4340931090508227,0.7906719443919882,0.14189496494991846,1.1559789777489824,1.712207240352663,0
2,main,Naive AI estimator,0.6434211646588345,-0.07258545598591286,-0.7160066206447473,0.09799864971488505,-0.26466280942708753,0.11949189745526183,0
2,main,ISE causal estimator,0.6434211646588345,0.3694205615314317,-0.27400060312740276,0.11647186720554462,0.14113570180856427,0.5977054212542992,0
2,main,Design erasure estimator,0.6434211646588345,0.8717925057750504,0.22837134111621593,0.13284318097437386,0.6114198710652776,1.1321651404848232,1
2,main,Post index leakage estimator,0.6434211646588345,0.060448879481934836,-0.5829722851768997,0.1051630611127148,-0.14567072029898617,0.2665684792628559,0
2,main,Oracle prospective estimator,0.6434211646588345,0.3779569918980907,-0.2654641727607438,0.11672030853296704,0.1491851871734753,0.6067287966227061,0
3,main,Structured EHR estimator,0.6386169462460421,1.653104272217684,1.014487325971642,0.14661203610981918,1.3657446814424385,1.9404638629929296,0
3,main,Naive AI estimator,0.6386169462460421,0.3135637914790722,-0.32505315476696994,0.11047784203513167,0.09702722109021414,0.5301003618679303,0
3,main,ISE causal estimator,0.6386169462460421,0.8836556106764308,0.2450386644303887,0.11734212640702985,0.6536650429186524,1.1136461784342093,0
3,main,Design erasure estimator,0.6386169462460421,1.3527476314232616,0.7141306851772194,0.13993232518902252,1.0784802740527775,1.6270149887937457,0
3,main,Post index leakage estimator,0.6386169462460421,0.380218295415013,-0.25839865083102914,0.11338692292202857,0.157979926487837,0.602456664342189,0
3,main,Oracle prospective estimator,0.6386169462460421,0.8701934454025574,0.23157649915651524,0.11686186562055204,0.6411441887862754,1.0992427020188393,0
4,main,Structured EHR estimator,0.6454940466081129,1.4436287943378092,0.7981347477296963,0.14573675878213352,1.1579847471248275,1.729272841550791,0
4,main,Naive AI estimator,0.6454940466081129,0.1659663856635503,-0.4795276609445627,0.10430122516047807,-0.03846401565098673,0.3703967869780873,0
4,main,ISE causal estimator,0.6454940466081129,0.653384446418514,0.007890399810401072,0.11966198642706034,0.41884695302147573,0.8879219398155522,1
4,main,Design erasure estimator,0.6454940466081129,1.100941177130657,0.45544713052254404,0.12781278999140383,0.8504281087475054,1.3514542455138085,0
4,main,Post index leakage estimator,0.6454940466081129,0.23809679783448165,-0.40739724877363126,0.10729528158521363,0.027798045927462933,0.44839554974150037,0
4,main,Oracle prospective estimator,0.6454940466081129,0.627736307954893,-0.017757738653219945,0.11843267930123265,0.395608256524477,0.859864359385309,1
5,main,Structured EHR estimator,0.6323012051671282,1.11420617291313,0.4819049677460019,0.14224656490120352,0.8354029057067711,1.393009440119489,0
5,main,Naive AI estimator,0.6323012051671282,0.1439814244757337,-0.4883197806913945,0.09179276650789475,-0.03593239787974001,0.3238952468312074,0
5,main,ISE causal estimator,0.6323012051671282,0.602819451697872,-0.02948175346925619,0.10954310641356742,0.3881149631272799,0.8175239402684641,1
5,main,Design erasure estimator,0.6323012051671282,0.9515347080172242,0.319233502850096,0.12452623218121082,0.707463292942051,1.1956061230923973,0
5,main,Post index leakage estimator,0.6323012051671282,0.13207104589289353,-0.5002301592742346,0.09648656217869403,-0.05704261597734675,0.3211847077631338,0
5,main,Oracle prospective estimator,0.6323012051671282,0.5976854829946636,-0.03461572217246456,0.10970902369488288,0.3826557965526932,0.812715169436634,1
6,main,Structured EHR estimator,0.6230744084185672,1.4106722491697545,0.7875978407511873,0.13945086718628488,1.1373485494846363,1.6839959488548728,0
6,main,Naive AI estimator,0.6230744084185672,0.22572920759823561,-0.3973452008203316,0.08939693584517233,0.050511213341697836,0.4009472018547734,0
6,main,ISE causal estimator,0.6230744084185672,0.7180140661651351,0.09493965774656787,0.10420841321851776,0.5137655762568403,0.9222625560734299,1
6,main,Design erasure estimator,0.6230744084185672,1.2422306951255846,0.6191562867070174,0.1236877436185105,0.999802717633304,1.4846586726178652,0
6,main,Post index leakage estimator,0.6230744084185672,0.21200540528523226,-0.41106900313333494,0.09948011143217085,0.017024386878177394,0.4069864236922871,0
6,main,Oracle prospective estimator,0.6230744084185672,0.7072786192755429,0.08420421085697571,0.10329874877100922,0.5048130716843648,0.909744166866721,1
7,main,Structured EHR estimator,0.6559931427754516,1.2940369543348453,0.6380438115593937,0.13104087586710336,1.0371968376353227,1.550877071034368,0
7,main,Naive AI estimator,0.6559931427754516,0.10740590356923307,-0.5485872392062185,0.08109158008059114,-0.05153359338872557,0.2663454005271917,0
7,main,ISE causal estimator,0.6559931427754516,0.6420095957483583,-0.013983547027093368,0.10221328577953315,0.4416715556204733,0.8423476358762432,1
7,main,Design erasure estimator,0.6559931427754516,1.0377154101784394,0.38172226740298776,0.12361056752276307,0.7954386978338237,1.279992122523055,0
7,main,Post index leakage estimator,0.6559931427754516,0.12273812924466942,-0.5332550135307822,0.08576052727264481,-0.0453525042097144,0.2908287626990532,0
7,main,Oracle prospective estimator,0.6559931427754516,0.6362744744179321,-0.019718668357519564,0.1024690830058396,0.43543507172648643,0.8371138771093777,1
8,main,Structured EHR estimator,0.6563338862120308,1.3163942415801306,0.6600603553680998,0.12565280140450638,1.0701147508272981,1.5626737323329631,0
8,main,Naive AI estimator,0.6563338862120308,0.20957277636326677,-0.44676110984876405,0.08175142142274035,0.04933999037469569,0.3698055623518378,0
8,main,ISE causal estimator,0.6563338862120308,0.5924993740114083,-0.06383451220062253,0.09511198147556153,0.4060798903193077,0.7789188577035089,1
8,main,Design erasure estimator,0.6563338862120308,0.9691911981390726,0.3128573119270418,0.11087767531574266,0.751870954520217,1.1865114417579283,0
8,main,Post index leakage estimator,0.6563338862120308,0.23596965063882247,-0.42036423557320834,0.08858673319700254,0.062339653572697495,0.40959964770494744,0
8,main,Oracle prospective estimator,0.6563338862120308,0.5924929477590885,-0.06384093845294236,0.09567920489501205,0.4049617061648648,0.7800241893533121,1
9,main,Structured EHR estimator,0.6359024522067634,1.6409335099070075,1.005031057700244,0.1411166360323338,1.3643449032836332,1.9175221165303817,0
9,main,Naive AI estimator,0.6359024522067634,0.06668273678976754,-0.5692197154169959,0.12271201486619837,-0.17383281234798126,0.30719828592751636,0
9,main,ISE causal estimator,0.6359024522067634,0.6523597036053714,0.016457251398607986,0.13023848010495487,0.3970922825996599,0.907627124611083,1
9,main,Design erasure estimator,0.6359024522067634,1.1615101335437346,0.5256076813369711,0.14524773978537409,0.8768245635644014,1.4461957035230677,0
9,main,Post index leakage estimator,0.6359024522067634,0.11648019785387302,-0.5194222543528905,0.1281139762214157,-0.13462319554010177,0.36758359124784784,0
9,main,Oracle prospective estimator,0.6359024522067634,0.6636017366466219,0.027699284439858474,0.12891721239107928,0.4109240003601065,0.9162794729331374,1
10,main,Structured EHR estimator,0.6293463640460458,1.4255769697569811,0.7962306057109353,0.13969040220553205,1.1517837814341383,1.699370158079824,0
10,main,Naive AI estimator,0.6293463640460458,0.14812777559584966,-0.48121858845019616,0.09276335125493068,-0.033688392863814476,0.3299439440555138,0
10,main,ISE causal estimator,0.6293463640460458,0.5481336751027184,-0.08121268894332745,0.10683685016888693,0.3387334487717,0.7575339014337368,1
10,main,Design erasure estimator,0.6293463640460458,0.9223868305955518,0.293040466549506,0.1267170422670234,0.674021427752186,1.1707522334389178,0
10,main,Post index leakage estimator,0.6293463640460458,0.21236671942010052,-0.4169796446259453,0.09773570678341885,0.020804734124599572,0.4039287047156015,0
10,main,Oracle prospective estimator,0.6293463640460458,0.5526219098485844,-0.07672445419746143,0.10636080782013957,0.34415472652111084,0.7610890931760579,1
11,main,Structured EHR estimator,0.6108100785487707,1.1205973806670202,0.5097873021182495,0.1513582981293624,0.8239351163334698,1.4172596450005706,0
11,main,Naive AI estimator,0.6108100785487707,0.011295080995770083,-0.5995149975530006,0.09460606560097239,-0.17413280758213578,0.19672296957367597,0
11,main,ISE causal estimator,0.6108100785487707,0.48871807242580967,-0.122092006122961,0.11916642809633299,0.255151873356997,0.7222842714946223,1
11,main,Design erasure estimator,0.6108100785487707,0.8790708301749385,0.2682607516261678,0.1318651048699386,0.6206152246298589,1.137526435720018,0
11,main,Post index leakage estimator,0.6108100785487707,0.026100188996170427,-0.5847098895526003,0.09751812895097581,-0.16503534374774215,0.217235721740083,0
11,main,Oracle prospective estimator,0.6108100785487707,0.46465871764013056,-0.14615136090864012,0.117367930329335,0.23461757419463397,0.6946998610856272,1
12,main,Structured EHR estimator,0.6436029006367558,1.5491524845864666,0.9055495839497107,0.13337655686630373,1.2877344331285112,1.810570536044422,0
12,main,Naive AI estimator,0.6436029006367558,0.17129539381883796,-0.4723075068179179,0.0997334084241441,-0.024182086692484478,0.36677287433016037,0
12,main,ISE causal estimator,0.6436029006367558,0.7554829222353157,0.11188002159855981,0.11098518892960403,0.5379519519332918,0.9730138925373395,1
12,main,Design erasure estimator,0.6436029006367558,1.033357779995898,0.3897548793591421,0.13207825253659078,0.77448440502418,1.2922311549676158,0
12,main,Post index leakage estimator,0.6436029006367558,0.19960003818112118,-0.4440028624556347,0.10413561407463427,-0.004505765405161982,0.4037058417674043,0
